Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1478784108352,8.977035490605429,0,0,10,5,11.6,0.0,0.0,0.0,0.0,0,0
1478784138077,4.079309006518657,5,1,10,5,10.6,0.0,0.0,0.0,0.0,0,0
1478784168095,2.4932270916334662,5,1,10,5,10.2,0.0,0.0,0.0,0.0,0,0
1478784198119,4.257425742574257,5,1,10,5,10.8,0.0,0.0,0.0,0.0,0,0
1478784228134,1.4922629987549654,5,1,10,5,10.6,0.0,0.0,0.0,0.0,0,0
1478784258153,4.067460317460317,5,1,10,5,10.0,0.0,0.0,0.0,0.0,0,0
1478784288176,2.86288405017502,5,1,10,5,10.8,0.0,0.0,0.0,0.0,0,0
1478784318191,5.62714877096148,5,1,10,5,10.4,0.0,0.0,0.0,0.0,0,0
1478784348226,10.907375027501477,5,1,10,5,11.6,0.0,0.0,249.5390900627205,998.2084231673854,1,4
1478784378236,5.193511995211125,5,1,10,5,11.4,0.0,0.0,251.3964002545027,1005.7416063038371,1,4
1478784408248,5.148475251403943,5,1,10,5,11.2,0.0,0.0,277.68271244763616,1110.7152653101934,1,4
1478784438270,3.3364004416635993,5,1,10,5,10.0,0.0,0.0,250.41428748758688,1001.6121524329693,1,4
1478784468288,3.797660762572201,5,1,10,5,11.2,0.0,0.0,255.1034640944257,1020.4107567942868,1,4
1478784498306,6.70561122244489,5,1,10,5,10.2,0.0,0.0,241.92450495049505,967.86974009901,1,4
1478784528314,4.095042674991417,5,1,10,5,10.6,0.0,0.0,242.10096914556962,968.4765006922469,1,4
1478784558341,4.657197862643407,5,1,10,5,12.0,0.0,0.0,264.16788221914555,1056.1894284018988,1,4
